0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.28,0.95,0
0.04,-0.29,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.29,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.29,0.95,0
0.04,-0.28,0.95,0
0.04,-0.29,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.17,0.96,0
0.05,-0.26,0.98,0
0.05,-0.20,0.95,0
0.03,-0.22,0.98,0
0.04,-0.18,0.96,0
0.05,-0.25,0.98,0
0.05,-0.18,0.96,0
0.05,-0.22,0.98,0
0.04,-0.19,0.97,0
0.05,-0.27,0.97,0
0.04,-0.29,0.95,0
0.02,-0.32,0.97,0
0.03,-0.18,0.96,0
0.06,-0.26,0.97,0
0.06,-0.20,0.96,0
0.05,-0.19,0.97,0
0.03,-0.16,0.98,0
0.04,-0.20,0.97,0
0.05,-0.24,0.96,0
0.04,-0.24,0.97,0
0.04,-0.21,0.97,0
0.05,-0.27,0.96,0
0.05,-0.26,0.96,0
0.04,-0.24,0.97,0
0.04,-0.25,0.97,0
0.05,-0.21,0.97,0
0.04,-0.18,0.97,0
0.04,-0.15,0.99,0
0.04,-0.20,0.97,0
0.05,-0.20,0.97,0
0.05,-0.23,0.97,0
0.06,-0.29,0.95,0
0.03,-0.30,0.97,0
0.02,-0.27,0.97,0
